A$AP Rocky,Rap,Contemporary Rap;East Coast Rap;Cloud Rap,2000s - 2020s,https://lowlands.nl/acts/asap-rocky/,https://www.allmusic.com/artist/aap-rocky-mn0002772593,
Chappell Roan,Pop/Rock;Electronic,Contemporary Singer/Songwriter;Dance-Pop;Pop;Adult Alternative Pop/Rock;Alternative/Indie Rock,2010s - 2020s,https://lowlands.nl/acts/chappell-roan/,https://www.allmusic.com/artist/chappell-roan-mn0003654352,
Queens of the Stone Age,Pop/Rock,Alternative Metal;Alternative/Indie Rock;Hard Rock;Stoner Metal;Heavy Metal,1990s - 2020s,https://lowlands.nl/acts/queens-of-the-stone-age/,https://www.allmusic.com/artist/queens-of-the-stone-age-mn0000376422,
Chase & Status,Electronic,Jungle/Drum'n'Bass;Club/Dance;Dubstep;Garage,2000s - 2020s,https://lowlands.nl/acts/chase-status/,https://www.allmusic.com/artist/chase-status-mn0000101961,
Fontaines D.C.,Pop/Rock,New Wave/Post-Punk Revival;Alternative/Indie Rock,2010s - 2020s,https://lowlands.nl/acts/fontaines-dc/,https://www.allmusic.com/artist/fontaines-dc-mn0003768677,
Frenna & The Gang,,,,https://lowlands.nl/acts/frenna-the-gang/,https://www.allmusic.com/artist/kool-the-gang-mn0000777210,
Jamie xx,Electronic;Pop/Rock,Indie Electronic;Alternative/Indie Rock;Club/Dance;Garage;Dubstep;Indie Pop,2000s - 2020s,https://lowlands.nl/acts/jamie-xx/,https://www.allmusic.com/artist/jamie-xx-mn0002602648,
Job Jobse & KI/KI,;,;,;,https://lowlands.nl/acts/job-jobse-kiki/,;,
Khruangbin,Pop/Rock,Neo-Psychedelia;Instrumental Rock;Alternative/Indie Rock;Deep Funk Revival;R&B Instrumental,2010s - 2020s,https://lowlands.nl/acts/khruangbin/,https://www.allmusic.com/artist/khruangbin-mn0003192866,
London Grammar,Pop/Rock,Alternative/Indie Rock;Indie Electronic;Indie Pop,2000s - 2020s,https://lowlands.nl/acts/london-grammar/,https://www.allmusic.com/artist/london-grammar-mn0003066904,
Marc Rebillet,Stage & Screen,,,https://lowlands.nl/acts/marc-rebillet/,https://www.allmusic.com/artist/marc-rebillet-mn0004103092,
Mk.gee,Pop/Rock,Alternative Singer/Songwriter;Alternative/Indie Rock,2010s - 2020s,https://lowlands.nl/acts/mkgee/,https://www.allmusic.com/artist/mkgee-mn0003895425,
Noord Nederlands Orkest,,,,https://lowlands.nl/acts/noord-nederlands-orkest/,https://www.allmusic.com/artist/north-netherlands-orchestra-mn0001729306,
Papa Roach,Pop/Rock,Alternative Metal;Heavy Metal;Hard Rock;Pop-Metal,1990s - 2020s,https://lowlands.nl/acts/papa-roach/,https://www.allmusic.com/artist/papa-roach-mn0000007731,
RAYE,Pop/Rock,Pop;Dance-Pop;Contemporary R&B,2010s - 2020s,https://lowlands.nl/acts/raye/,https://www.allmusic.com/artist/raye-mn0002593543,
Vampire Weekend,Pop/Rock,Alternative/Indie Rock;Indie Rock;Left-Field Pop,2000s - 2020s,https://lowlands.nl/acts/vampire-weekend/,https://www.allmusic.com/artist/vampire-weekend-mn0000662416,
Wallows,Pop/Rock,Alternative/Indie Rock;Indie Rock;Indie Pop;New Wave/Post-Punk Revival,2010s - 2020s,https://lowlands.nl/acts/wallows/,https://www.allmusic.com/artist/wallows-mn0003719550,
Amaarae,R&B;International,Alternative R&B;Afro-Pop;Contemporary R&B;African Traditions,2010s - 2020s,https://lowlands.nl/acts/amaarae/,https://www.allmusic.com/artist/amaarae-mn0003994529,
Black Country; New Road,,,,https://lowlands.nl/acts/black-country-new-road/,https://www.allmusic.com/artist/black-country-new-road-mn0003891394,
Cat Burns,Pop/Rock,Contemporary Singer/Songwriter;Pop,2010s - 2020s,https://lowlands.nl/acts/cat-burns/,https://www.allmusic.com/artist/cat-burns-mn0004218768,
The Chats,Pop/Rock,Alternative/Indie Rock;Garage Punk;Punk Revival,2010s - 2020s,https://lowlands.nl/acts/the-chats/,https://www.allmusic.com/artist/the-chats-mn0003735675,
CMAT,Pop/Rock,Pop;Alternative/Indie Rock;Left-Field Pop;Indie Pop;Country-Pop,2010s - 2020s,https://lowlands.nl/acts/cmat/,https://www.allmusic.com/artist/cmat-mn0004150353,
DEADLETTER,Pop/Rock,New Wave/Post-Punk Revival;Alternative/Indie Rock;Indie Rock,2020s,https://lowlands.nl/acts/deadletter/,https://www.allmusic.com/artist/deadletter-mn0004141931,
Goldkimono,Pop/Rock,,,https://lowlands.nl/acts/goldkimono/,https://www.allmusic.com/artist/goldkimono-mn0003979362,
Gotu Jim,Rap,,,https://lowlands.nl/acts/gotu-jim/,https://www.allmusic.com/artist/gotu-jim-mn0004694857,
horsegiirL,Electronic,Happy Hardcore;Hardcore Techno;Techno,2020s,https://lowlands.nl/acts/horsegiirl/,https://www.allmusic.com/artist/horsegiirl-mn0004446794,
Jalen Ngonda,R&B,Retro-Soul;Alternative R&B,2010s - 2020s,https://lowlands.nl/acts/jalen-ngonda/,https://www.allmusic.com/artist/jalen-ngonda-mn0004215355,
Joep Beving & Residentie Orkest,;,;,;,https://lowlands.nl/acts/joep-beving-residentie-orkest/,;,
Lola Young,R&B,Contemporary R&B;Adult Contemporary R&B,2010s - 2020s,https://lowlands.nl/acts/lola-young/,https://www.allmusic.com/artist/lola-young-mn0003886373,
Maan,Pop/Rock,,2010s,https://lowlands.nl/acts/maan/,https://www.allmusic.com/artist/maan-mn0003787825,
Molchat Doma,Pop/Rock,Alternative/Indie Rock;Cold Wave;New Wave/Post-Punk Revival;Goth Rock,2010s - 2020s,https://lowlands.nl/acts/molchat-doma/,https://www.allmusic.com/artist/molchat-doma-mn0003904420,
Montell Fish,Pop/Rock,Alternative/Indie Rock;Alternative R&B;Contemporary R&B;Contemporary Rap,2010s - 2020s,https://lowlands.nl/acts/montell-fish/,https://www.allmusic.com/artist/montell-fish-mn0004169809,
The Murder Capital,Pop/Rock,Post-Punk;Alternative/Indie Rock,2010s - 2020s,https://lowlands.nl/acts/the-murder-capital/,https://www.allmusic.com/artist/the-murder-capital-mn0003810327,
Nemzzz,Rap,British Rap;Contemporary Rap;UK Drill,2010s - 2020s,https://lowlands.nl/acts/nemzzz/,https://www.allmusic.com/artist/nemzzz-mn0004203938,
Royel Otis,Pop/Rock,Indie Electronic;Indie Rock;Alternative/Indie Rock;New Wave/Post-Punk Revival;Aussie Rock,2010s - 2020s,https://lowlands.nl/acts/royel-otis/,https://www.allmusic.com/artist/royel-otis-mn0004467319,
Spencer Sutherland,Pop/Rock;R&B,Pop;Pop Idol;Neo-Soul;Contemporary R&B,2010s - 2020s,https://lowlands.nl/acts/spencer-sutherland/,https://www.allmusic.com/artist/spencer-sutherland-mn0003808180,
Suki Waterhouse,Pop/Rock,Alternative Singer/Songwriter;Alternative/Indie Rock;Indie Rock;Indie Pop,2010s - 2020s,https://lowlands.nl/acts/suki-waterhouse/,https://www.allmusic.com/artist/suki-waterhouse-mn0003598371,
Tramhaus,Pop/Rock,,2020s,https://lowlands.nl/acts/tramhaus/,https://www.allmusic.com/artist/tramhaus-mn0004716001,
Antony Szmierek,Electronic;Pop/Rock;Rap,Contemporary Singer/Songwriter;Alternative Singer/Songwriter;Spoken Word;Alternative/Indie Rock;British Rap,2020s,https://lowlands.nl/acts/antony-szmierek/,https://www.allmusic.com/artist/antony-szmierek-mn0004404506,
Bambie Thug,Pop/Rock,,,https://lowlands.nl/acts/bambie-thug/,https://www.allmusic.com/artist/bambie-thug-mn0004101447,
bby,Pop/Rock,Alternative/Indie Rock;Indie Electronic;Rap-Rock;Left-Field Pop;Indie Rock;Pop,2020s,https://lowlands.nl/acts/bby/,https://www.allmusic.com/artist/bby-mn0003973675,
LA LOM,Latin;Pop/Rock,Instrumental Rock;Cuban Traditions;Cumbia;Mexican Traditions,2020s,https://lowlands.nl/acts/la-lom/,https://www.allmusic.com/artist/la-lom-mn0004633390,
Luvcat,Pop/Rock,,,https://lowlands.nl/acts/luvcat/,https://www.allmusic.com/artist/luvcat-mn0004772432,
Marathon,Pop/Rock,Adult Alternative Pop/Rock;Alternative/Indie Rock;Post-Grunge;Alternative Pop/Rock,2000s,https://lowlands.nl/acts/marathon/,https://www.allmusic.com/artist/marathon-mn0000675008,
SOFIA ISELLA,,,,https://lowlands.nl/acts/sofia-isella/,https://www.allmusic.com/artist/sofia-gubaidulina-mn0001328479,
Soft Launch,Pop/Rock,Alternative/Indie Rock;Contemporary Pop/Rock;Indie Rock;Pop;Contemporary Singer/Songwriter;Indie Pop;Left-Field Pop,2020s,https://lowlands.nl/acts/soft-launch/,https://www.allmusic.com/artist/soft-launch-mn0004606510,
Warmduscher,Pop/Rock,Garage Punk;Alternative/Indie Rock;Neo-Psychedelia,2010s - 2020s,https://lowlands.nl/acts/warmduscher/,https://www.allmusic.com/artist/warmduscher-mn0003377962,
