Justin Timberlake,Pop/Rock,Dance-Pop;Pop;Teen Pop;Contemporary R&B,1990s - 2020s,https://www.pinkpop.nl/line-up/justin-timberlake/,https://www.allmusic.com/artist/justin-timberlake-mn0000312890,
Olivia Rodrigo,Pop/Rock;Stage & Screen,Pop;Contemporary Singer/Songwriter;Teen Pop;Soundtracks;TV Soundtracks;TV Music;Cast Recordings;Show/Musical,2010s - 2020s,https://www.pinkpop.nl/line-up/olivia-rodrigo/,https://www.allmusic.com/artist/olivia-rodrigo-mn0003556388,
Muse,Pop/Rock,Alternative Pop/Rock;Alternative/Indie Rock;Post-Grunge;Neo-Prog,1990s - 2020s,https://www.pinkpop.nl/line-up/muse/,https://www.allmusic.com/artist/muse-mn0000514563,
The Last Dinner Party,Pop/Rock,Alternative/Indie Rock;Baroque Pop;Indie Rock,2020s,https://www.pinkpop.nl/line-up/the-last-dinner-party/,https://www.allmusic.com/artist/the-last-dinner-party-mn0004443679,
KoRn,,,,https://www.pinkpop.nl/line-up/korn/,https://www.allmusic.com/artist/korn-mn0000112789,
Mark Ambor,Pop/Rock,Pop;Contemporary Pop/Rock;Contemporary Singer/Songwriter;Social Media Pop,2010s - 2020s,https://www.pinkpop.nl/line-up/mark-ambor/,https://www.allmusic.com/artist/mark-ambor-mn0004295420,
Oscar and The Wolf,,,,https://www.pinkpop.nl/line-up/oscar-and-the-wolf/,https://www.allmusic.com/artist/oscar-and-the-wolf-mn0002942497,
Weezer,Pop/Rock,Alternative Pop/Rock;Alternative/Indie Rock;Pop Punk;Emo,1990s - 2020s,https://www.pinkpop.nl/line-up/weezer/,https://www.allmusic.com/artist/weezer-mn0000243008,
Joost,Rap,European Rap,,https://www.pinkpop.nl/line-up/joost/,https://www.allmusic.com/artist/joost-mn0002319355,
Biffy Clyro,Pop/Rock,Alternative/Indie Rock;Pop Punk;Punk Revival;Neo-Prog;Post-Grunge,1990s - 2020s,https://www.pinkpop.nl/line-up/biffy-clyro/,https://www.allmusic.com/artist/biffy-clyro-mn0000065040,
Amyl and the Sniffers,Pop/Rock,Garage Punk;Alternative/Indie Rock,2010s - 2020s,https://www.pinkpop.nl/line-up/amyl-and-the-sniffers/,https://www.allmusic.com/artist/amyl-and-the-sniffers-mn0003701122,
Bad Nerves,Pop/Rock,,,https://www.pinkpop.nl/line-up/bad-nerves/,https://www.allmusic.com/artist/bad-nerves-mn0003614428,
Claude,Pop/Rock,,,https://www.pinkpop.nl/line-up/claude/,https://www.allmusic.com/artist/claude-mn0000233025,
Confidence man,,,,https://www.pinkpop.nl/line-up/confidence-man/,https://www.allmusic.com/artist/confidence-man-mn0000267543,
Cypress Hill,Rap;Pop/Rock,Latin Rap;West Coast Rap;Rap-Rock;Alternative Rap;Hardcore Rap,1980s - 2020s,https://www.pinkpop.nl/line-up/cypress-hill/,https://www.allmusic.com/artist/cypress-hill-mn0000147315,
Flogging Molly,Pop/Rock,Alternative/Indie Rock;Contemporary Celtic;Punk Revival;Pop Punk,1990s - 2020s,https://www.pinkpop.nl/line-up/flogging-molly/,https://www.allmusic.com/artist/flogging-molly-mn0000187172,
girl in red,Pop/Rock,Alternative/Indie Rock;Pop;Dance-Rock;Indie Pop;Bedroom Pop;Contemporary Pop/Rock,2010s - 2020s,https://www.pinkpop.nl/line-up/girl-in-red/,https://www.allmusic.com/artist/girl-in-red-mn0003783307,
Hardy,,,,https://www.pinkpop.nl/line-up/hardy/,https://www.allmusic.com/artist/hardy-mn0003796935,
Kaiser Chiefs,Pop/Rock,Alternative/Indie Rock;Indie Rock,2000s - 2020s,https://www.pinkpop.nl/line-up/kaiser-chiefs/,https://www.allmusic.com/artist/kaiser-chiefs-mn0000932328,
Kid Kapichi,Pop/Rock,Alternative/Indie Rock;Post-Punk,2010s - 2020s,https://www.pinkpop.nl/line-up/kid-kapichi/,https://www.allmusic.com/artist/kid-kapichi-mn0004022011,
Krezip,Pop/Rock,Adult Alternative Pop/Rock;Alternative Pop/Rock;Alternative/Indie Rock;Post-Grunge,1990s - 2020s,https://www.pinkpop.nl/line-up/krezip/,https://www.allmusic.com/artist/krezip-mn0000636455,
Mika,Pop/Rock,Left-Field Pop;Pop;Alternative/Indie Rock;Contemporary Singer/Songwriter;Dance-Pop,2000s - 2020s,https://www.pinkpop.nl/line-up/mika/,https://www.allmusic.com/artist/mika-mn0000476425,
Personal Trainer,Pop/Rock,Alternative/Indie Rock;Indie Pop;Indie Rock,2010s - 2020s,https://www.pinkpop.nl/line-up/personal-trainer/,https://www.allmusic.com/artist/personal-trainer-mn0004650630,
Purple Disco Machine,Electronic,Club/Dance;House;Neo-Disco;Dance-Pop,2000s - 2020s,https://www.pinkpop.nl/line-up/purple-disco-machine/,https://www.allmusic.com/artist/purple-disco-machine-mn0002813731,
Shaboozey,Rap,Alternative Rap;Left-Field Rap;Contemporary Rap;Trap (Rap),2010s - 2020s,https://www.pinkpop.nl/line-up/shaboozey/,https://www.allmusic.com/artist/shaboozey-mn0003690780,
The Warning,Pop/Rock,Hard Rock;Heavy Metal,2010s - 2020s,https://www.pinkpop.nl/line-up/the-warning/,https://www.allmusic.com/artist/the-warning-mn0003614847,
SOFT PLAY,,,,https://www.pinkpop.nl/line-up/soft-play/,https://www.allmusic.com/artist/slaves-mn0003054144,
Janet Livv,,,,https://www.pinkpop.nl/line-up/janet-livv/,https://www.allmusic.com/artist/janet-jackson-mn0000208774,
