Maneskin	friday
Calvin Harris	saturday
Ed Sheeran	sunday
Keane	friday
Nothing But Thieves	saturday
Sam Smith	sunday
Avril Lavigne	friday
Anouk	saturday
Hozier	sunday
Limp Bizkit	sunday
Greta Van Fleet	sunday
Royal Blood	friday
Louis Tomlinson	saturday
Yungblud	friday
Pendulum	saturday
Acda en De Munnik	friday
Against The Current	saturday
The Analogues	saturday
Babymetal	friday
CalumScott	sunday
Cian Ducrot	friday
Corey Taylor	saturday
Davina Michelle	sunday
De Jeugd van Tegenwoordig	saturday
Dool	sunday
Douwe Bob	saturday
Froukje	saturday
Ilse de Lange	sunday
The Interrupters	sunday
James Arthur	sunday
Jane's Addiction	sunday
John Coffey	saturday
Lauren Spencer Smith	saturday
Loreen	sunday
Matt Maltese	saturday
Meute	sunday
Nathaniel Rateliff and the Night Sweats	friday
Oliver Heldens	saturday
Palaye Royale	friday
Polyphia	friday
s10	friday
pommelien-thijs	friday
sea-girls	sunday
skindred	friday
tinlicker	friday
henry-moodie	sunday
aviva	friday
chinchilla	saturday
clockclock	friday
dagny	friday
dead-pony	saturday
fleddy-melculy	friday
gunmoll	sunday
james-marriott	saturday
the-ks	sunday
kawala	friday
lottery-winners	saturday
mell-vf	friday
Nieve Ella	friday
Ploegendienst	saturday
Ruby Waters	sunday
Talk	sunday
Tors	saturday
The Vices	saturday
Yin Yin	sunday
Gideon Luciana	saturday
jiri11	friday
